;;Lion Hovestadt (IT-SD);Elfenbeinküste;Mesut Özil;Elektrotechnik;Céline Bethmann;Die Gerechtigkeitspartei - Team Todenhöfer;Irak;Ell & Nikki - Running Scared (Aserbaidschan 2011);Vom Winde verweht (1940);Kaká;George Weasley;La Vaca Saturno Saturnita  ;Smettbo;;Hessen;Doctor Strange;Magnesium  ;Zachary Taylor;Aurora;Flag Football;;Mu (Μ, μ)  ;Pummeluff;Meine Nachbarn die Yamadas (1999);Seestraße;Käfer  ;Frankreich;;SG Flensburg-Handewitt  ;Gumpert  ;;;VfL Wolfsburg  ;Linux Mint  ;207 Multi-Status  ;Patrick Schnieder (Verkehr, CDU)  ;;Ecuador;Feen Bogen;;Deutsche Bank;Tyrell;Mexiko  ;;Rostock Seawolves  ;Vaan (Final Fantasy XII)  
;;Malak Mostafa (IT-SD);Eritrea;Toni Kroos;Energietechnik;Toni Dreher-Adenuga;Piratenpartei Deutschland;Iran;Loreen - Euphoria (Schweden 2012);Rebecca (1941);Cristiano Ronaldo;Neville Longbottom;Ballerina Cappucina  ;Hornliu;;Rheinland-Pfalz;Black Panther;Aluminium  ;Millard Fillmore;Raya;Fußball;;Nu (Ν, ν)  ;;Chihiros Reise ins Zauberland (2001);Elektrizitätswerk;Gestein  ;Georgien;;TBV Lemgo Lippe  ;Trabant  ;;;Werder Bremen;openSUSE  ;208 Already Reported  ;Carsten Schneider (Umwelt, Klimaschutz, Naturschutz und nukleare Sicherheit, SPD)  ;;El Salvador;Fang- / Enterhaken;;Deutsche Börse;Bolton;Russland  ;;SC RASTA Vechta  ;Lightning (Final Fantasy XIII)  
;;Marc Weerts (IT-SD);Eswatini;Manuel Neuer;Englisch;Simone Kowalski;Volt Deutschland;Israel;Emmelie de Forest - Only Teardrops (Dänemark 2013);Schlagende Wetter (1942);Lionel Messi;Arthur Weasley;U Din Din Din Din Dun Ma Din Din Din Dun  ;Kokuna;;Saarland;Ant-Man;Silicium  ;Franklin Pierce;;Gerätturnen;;Xi (Ξ, ξ)  ;;Das Königreich der Katzen (2002);Hafenstraße;Geist  ;Griechenland;;THW Kiel  ;NSU  ;;;;Oracle Linux  ;226 IM Used;Nina Warken (Gesundheit, CDU)  ;;Grenada;Stahlhammer;;Deutsche Telekom;Durrandon;Saudi-Arabien  ;;SYNTAINICS MBC  ;Noctis Lucis Caelum (Final Fantasy XV)  
;;Marvin Delhaes (Marie);Gabun;Julian Draxler;Fahrzeugtechnik;Jacky Wruck;Ökologisch-Demokratische Partei;Japan;Conchita Wurst - Rise Like a Phoenix (Österreich 2014);Mrs. Miniver (1943);Luka Modric;Ginny Weasley;Trulimero Trulicina  ;Bibor;;Bayern;Wasp;Phosphor  ;James Buchanan;;Gewichtheben;;Omikron (Ο, ο)  ;;Das wandelnde Schloss (2004);Neue Straße;Drache  ;Irland;;TSV Hannover-Burgdorf  ;Auto Union  ;;;;Rocky Linux  ;300 Multiple Choices  ;Alois Rainer (Landwirtschaft, Ernährung und Heimat, CSU)  ;;Guatemala;Feuerpfeil;;DHL Group (ex Deutsche Post);Gärtner;Südafrika  ;;Telekom Baskets Bonn  ;Clive Rosfield (Final Fantasy XVI)
;;Masimba Koschke (IT-SD);Gambia;Sami Khedira;Fertigungstechnik;Alex Mariah Peter;Südschleswigscher Wählerverband;Jemen;Måns Zelmerlöw - Heroes (Schweden 2015);Casablanca (1944);Robert Lewandowski;Minerva McGonagall;Girafa Celestre  ;Taubsi;;Baden-Wüttemberg;Captain Marvel;Schwefel  ;Abraham Lincoln;;Golf;;Pi (Π, π)  ;;Die Chroniken von Erdsee (2006);Westbahnhof;Unlicht  ;Island;;TVB 1898 Stuttgart  ;DKW  ;;;;AlmaLinux  ;301 Moved Permanently  ;Reem Alabali-Radovan (Wirtschaftliche Zusammenarbeit und Entwicklung, SPD)  ;;Guyana;Eispfeil;;E.ON;Hoffartt;Südkorea  ;;Veolia Towers Hamburg  ;
;;Mohammadmasih Motaharifar (IT-SD);Ghana;Jerome Boateng;Georessourcenmanagement;Lou-Anne Gleißenebner-Teskey;Partei für Verjüngungsforschung;Jordanien;Jamala - 1944 (Ukraine 2016);Der Weg zum Glück (1945);Karim Benzema;Molly Weasley;Bobrito Bandito  ;Tauboga;;;Nebula;Chlor  ;Andrew Johnson;;Handball;;Rho (Ρ, ρ)  ;;Ponyo - Das große Abenteuer am Meer (2008);Münchner Straße;Stahl  ;Italien;;ThSV Eisenach  ;Wanderer  ;;;;Arch Linux  ;302 Found  ;Verena Hubertz (Wohnen, Stadtentwicklung und Bauwesen, SPD)  ;;Haiti;Lichtpfeil;;Fresenius;;Türkei  ;;Würzburg Baskets;
;;Patrick Wilhelm (WiPro);Guinea;Mario Gomez;Geschichte;Vivien Blotzki;Partei der Humanisten;Kambodscha;Salvador Sobral - Amar pelos dois (Portugal 2017);Das verlorene Wochenende (1945);Vinicius Junior;Dolores Umbridge;Ta Ta Ta Ta Ta Ta Ta Ta Ta Ta Ta Sahur  ;Tauboss;;;Okoye;Argon  ;Ulysses Grant;;Hockey;;Sigma (Σ, σ)  ;;Arrietty - Die wundersame Welt der Borger (2010);Wiener Straße;Fee;Kasachstan;;VfL Gummersbach;Horch  ;;;;Manjaro  ;303 See Other  ;Thorsten Frei (Kanzleramt, besondere Aufgaben, CDU);;Honduras;Dins Feuerinferno;;Fresenius Medical Care;;Vereinigtes Königreich  ;;;
;;Paul Schweizer (IT-SD);Guinea-Bissau;Heiko Westermann;Geschichtswissenschaft;Lea und Jermaine;Bündnis C - Christen für Deutschland;Kasachstan;Netta - Toy (Israel 2018);Die besten Jahre unseres Lebens (1946);;Alastor 'Mad-Eye' Moody;Pot Hotspot  ;Rattfratz;;;Rocket Raccoon;Kalium  ;Rutherford Hayes;;Judo;;Tau (Τ, τ)  ;;Der Mohnblumenberg (2011);Berliner Straße;;Kosovo;;;Setra  ;;;;Pop!_OS  ;304 Not Modified  ;;;Jamaika;Farores Donnersturm;;Hannover Rück;;Vereinigte Staaten  ;;;
;;Rushanth Rasaratnam (IT-SD);Kamerun;Serdar Tasci;Gesellschaftswissenschaften;;Bayernpartei;Katar;Duncan Laurence - Arcade (Niederlande 2019);Tabu der Gerechten  (1948);;Vernon Dursley;Frulli Frulla  ;Rattikarl;;;Groot;Calcium  ;James Garfield;;Kanu-Rennsport;;Ypsilon (Υ, υ)  ;;Wie der Wind sich hebt (2013);Frei Parken;;Kroatien;;;Neoplan  ;;;;Kali Linux  ;305 Use Proxy  ;;;Kanada;Nayrus Umarmung;;Heidelberg Materials;;Europäische Union;;;
;;♥ Simon Krämer (IT-Administration) ♥;Kenia;Per Mertesacker;Grundschullehramt;;Marxistisch-Leninistische Partei Deutschlands;Kirgisistan;Måneskin - Zitti e buoni (Italien 2021);Hamlet (1949);;Cornelius Fudge;Brri Brri Bicus Dicus Bombicus  ;Habitak;;;Mantis;Scandium  ;Chester Arthur;;Kanu-Slalom;;Phi (Φ, φ)  ;;Die Legende der Prinzessin Kaguya (2013);Theaterstraße;;Lettland;;;Bitter  ;;;;Ubuntu Server  ;307 Temporary Redirect  ;;;Kolumbien;Das Kokiri Schwert;;Henkel vz.;;;;;
;;Tom Heinrichs (WiPro);Komoren;Lukas Podolski;Hebammenwissenschaft;;Menschliche Welt;Kuwait;Kalush Orchestra - Stefania (Ukraine 2022);Der Mann, der herrschen wollte (1950);;Peter Pettigrew;Tric Trac Baraboom  ;Ibitak;;;Star-Lord;Titan  ;Grover Cleveland;;Karate;;Chi (Χ, χ)  ;;Erinnerungen an Marnie (2014);Museumstraße;;Liechtenstein;;;Melkus  ;;;;VMware ESXi  ;308 Permanent Redirect;;;Kuba;Das Masterschwert;;Infineon;;;;;
;;;Kongo (Demokratische Republik);Bastian Schweinsteiger;Hochbautechnik;;Partei des Fortschritts;Laos;Loreen - Tattoo (Schweden 2023);Alles über Eva (1951);;Dobby;Cocofanto Elefanto  ;Rettan;;;Drax;Vanadium  ;Benjamin Harrison;;Lacrosse;;Psi (Ψ, ψ)  ;;Die rote Schildkröte (2016);Opernplatz;;Litauen;;;Artega  ;;;;Proxmox VE  ;400 Bad Request  ;;;Mexiko;Das Langschwert;;Mercedes-Benz Group (ex Daimler);;;;;
;;;Kongo (Republik);Jens Lehmann;Holztechnik;;Sozialistische Gleichheitspartei, Vierte Internationale;Libanon;Nemo - The Code (Schweiz 2024);Ein Amerikaner in Paris (1952);;Dudley Dursley;Burbaloni Lulilolli  ;Arbok;;;Gamora;Chrom  ;Grover Cleveland;;Leichtathletik;;Omega (Ω, ω);;Aya und die Hexe (2020);Nordbahnhof;;Luxemburg;;;Isdera  ;;;;FreeBSD  ;401 Unauthorized  ;;;Nicaragua;Das Biggoron-Schwert;;Merck;;;;;
;;;Lesotho;Miroslav Klose;Informatik;;Bürgerrechtsbewegung Solidarität;Malaysia;JJ - Wasted Love (Österreich 2025);Die größte Schau der Welt  (1953);;Horace Slughorn;Orangutini Ananasini  ;Pikachu;;;Bucky Barnes;Mangan  ;William McKinley;;Marathonschwimmen;;;;Der Junge und der Reiher (2023);Lessingstraße;;Malta;;;Zender  ;;;;OpenWrt  ;402 Payment Required  ;;;Panama;Der Dekuschild;;MTU Aero Engines;;;;;
;;;Liberia;Philipp Lahm;Kath. Religionslehre;;BÜNDNIS DEUTSCHLAND;Malediven;;Verdammt in alle Ewigkeit (1954);;Percy Weasley;Garamararamararaman dan Madudungdung tak tuntung perkuntung  ;Raichu;;;;Eisen  ;Theodore Roosevelt;;Moderner Fünfkampf;;;;;Schillerstraße;;Moldau;;;Ruf  ;;;;pfSense  ;403 Forbidden  ;;;Paraguay;Der Hyliaschild;;Münchener Rückversicherungs-Gesellschaft;;;;;
;;;Libyen;Thomas Hitzlsperger;Logopädie;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;Mongolei;;Die Faust im Nacken (1955);;Luna Lovegood;Il Cacto Hipopotamo  ;Sandan;;;;Cobalt  ;William Taft;;Radsport - BMX Freestyle;;;;;Wasserwerk;;Monaco;;;Brabus  ;;;;OpenBSD  ;404 Not Found  ;;;Peru;Der Spiegelschild;;Porsche;;;;;
;;;Madagaskar;Kevin Kuranyi;Maschinenbau;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;Myanmar;;Marty (1956);;Cedric Diggory;Blueberrinni Octopussini  ;Sandamer;;;;Nickel  ;Woodrow Wilson;;Radsport - BMX Race;;;;;Goethestraße;;Montenegro;;;Alpina  ;;;;Raspberry Pi OS  ;405 Method Not Allowed  ;;;Saint Kitts und Nevis;Kokiri-Rüstung;;Porsche Automobil vz.;;;;;
;;;Malawi;Christoph Metzelder;Maschinenbautechnik;;WerteUnion;Nepal;;In 80 Tagen um die Welt (1957);;Petunia Dursley;Glorbo Fruttodrillo  ;Nidoran;;;;Kupfer  ;Warren Harding;;Radsport - Mountainbike;;;;;Geh ins Gefängnis;;Niederlande;;;ABT  ;;;;Tizen  ;406 Not Acceptable  ;;;Saint Lucia;Goronen-Rüstung;;QIAGEN;;;;;
;;;Mali;Tim Borowski;Materialwissenschaften;;;Nordkorea;;Die Brücke am Kwai (1958);;Kreacher;Rhino Toasterino  ;Nidorina;;;;Zink  ;Calvin Coolidge;;Radsport - Straße;;;;;Rathausplatz;;Nordmazedonien;;;Glas  ;;;;Zorin OS  ;407 Proxy Authentication Required  ;;;Saint Vincent und die Grenadinen;Zora-Rüstung;;Rheinmetall;;;;;
;;;Marokko;Bernd Schneider;Mathematik;;;Oman;;Gigi (1959);;Bill Weasley;Zibra Zubra Zibralini  ;Nidoqueen;;;;Gallium  ;Herbert Hoover;;Radsport-Bahnradrennen;;;;;Hauptstraße;;Norwegen;;;Lloyd  ;;;;Qubes OS  ;408 Request Timeout  ;;;Suriname;Lederstiefel;;RWE;;;;;
;;;Mauretanien;Torsten Frings;Mensch-Technik-Interaktion und -Kommunikation;;;Pakistan;;Ben Hur (1960);;Barty Crouch Sr.;Graipussi Medussi  ;Nidoran;;;;Germanium  ;Franklin Roosevelt;;Reiten;;;;;Bahnhofstraße;;Österreich;;;Goliath  ;;;;LineageOS  ;409 Conflict  ;;;Trinidad und Tobago;Eisenstiefel;;SAP;;;;;
;;;Mauritius;Arne Friedrich;Molekulare und Angewandte Biotechnologie;;;Philippinen;;Das Appartement (1961);;Argus Filch;Tigrrullini Watermellini  ;Nidorino;;;;Arsen  ;Harry Truman;;Rhythmische Sportgymnastik;;;;;Hauptbahnhof;;Polen;;;Hanomag  ;;;;GrapheneOS  ;410 Gone  ;;;Uruguay;Gleitstiefel;;Sartorius vz.;;;;;
;;;Mosambik;Michael Ballack;Nachhaltige Rohstoff- und Energieversorgung;;;Saudi-Arabien;;West Side Story (1962);;Viktor Krum;Tracotucotulu Delapeladustuz  ;Nidoking;;;;Selen  ;Dwight Eisenhower;;Ringen;;;;;Parkstraße;;Portugal;;;Hansa  ;;;;HarmonyOS  ;411 Length Required  ;;;USA;Munitionstasche;;Siemens;;;;;
;;;Namibia;Jens Jeremies;Nachhaltige Werkstofftechnik;;;Singapur;;Lawrence von Arabien (1963);;Gilderoy Lockhart;Gorillo Watermellondrillo  ;Piepi;;;;Brom  ;John Kennedy;;Rudern;;;;;Zusatzsteuer;;Rumänien;;;Messerschmitt  ;;;;Fire OS  ;412 Precondition Failed  ;;;Venezuela;Köcher;;Siemens Energy;;;;;
;;;Niger;Dietmar Hamann;Nachrichtentechnik;;;Südkorea;;Tom Jones (1964);;Sybill Trelawney;Bananita Dolfinita  ;Pixi;;;;Krypton  ;Lyndon Johnson;;Schießen;;;;;Schlossallee;;Russland;;;Tempo  ;;;;/ e / (eFoundation)  ;413 Payload Too Large  ;;;;Bombentasche;;Siemens Healthineers;;;;;
;;;Nigeria;Christian Ziege;Philosophie, Literatur- und Sprachwissenschaft;;;Syrien;;My Fair Lady (1965);;Fleur Delacour;Tigroligre Frutonni  ;Vulpix;;;;Rubidium  ;Richard Nixon;;Schwimmen;;;;;;;San Marino;;;E-Go  ;;;;KaiOS  ;414 URI Too Long  ;;;;Goronen-Armband;;Symrise;;;;;
;;;Ruanda;Jens Nowotny;Physik;;;Sri Lanka;;Meine Lieder - Meine Träume (1966);;Lucius Malfoy;Ballerino Lololo  ;Vulnona;;;;Strontium  ;Gerald Ford;;Segeln;;;;;;;Schweden;;;Sono Motors  ;;;;SUSE Linux Enterprise Server (SLES)  ;415 Unsupported Media Type  ;;;;Krafthandschuhe;;Volkswagen;;;;;
;;;Sambia;Oliver Kahn;Politik;;;Tadschikistan;;Ein Mann zu jeder Jahreszeit (1967);;Ludo Bagman;Crocodildo Penisini  ;Pummeluff;;;;Yttrium  ;Jimmy Carter;;Skateboard;;;;;;;Schweiz;;;Next.e.Go Mobile  ;;;;Debian Server  ;416 Range Not Satisfiable  ;;;;Titanhandschuhe;;Vonovia;;;;;
;;;São Tomé und Príncipe;Christian Wörns;Psychologie;;;Taiwan;;In der Hitze der Nacht (1968);;Nymphadora Tonks;Makakini Bananini  ;Knuddeluff;;;;Zirkonium  ;Ronald Reagan;;Sportklettern;;;;;;;Serbien;;;ElectricBrands (XBus)  ;;;;SmartOS  ;417 Expectation Failed  ;;;;Silberne Schuppe;;Zalando;;;;;
;;;Senegal;Oliver Bierhoff;Soziologie;;;Thailand;;Oliver! (1969);;Gregory Goyle;Matteooooooooooooo  ;Zubat;;;;Niob  ;George Bush;;Squash;;;;;;;Slowakei;;;ACM (Adaptive City Mobility)  ;;;;XenServer  ;418 I'm a teapot  ;;;;Goldene Schuppe;;;;;;;
;;;Seychellen;Ulf Kirsten;Sprach- und Kommunikationswissenschaft;;;Timor-Leste (Osttimor);;Asphalt-Cowboy (1970);;Vincent Crabbe;Špijuniro Golubiro  ;Golbat;;;;Molybdän  ;Bill Clinton;;Surfen;;;;;;;Slowenien;;;Micro Mobility Systems (Microlino, DE-Partnerfertigung);;;;ReactOS  ;421 Misdirected Request  ;;;;Zeldas Brief;;;;;;;
